Variable,Value,Description,Json Variable,Mapping Value
Port_Priority_Default_Value,0,Priority of port default value : 0 ~ 7,SYS_DFLT_1P_PORT_DEFAULT_USER_PRIORITY,
CoS_Trust_Mode_Precedence,False,Support trust Mode : Precedence,SYS_CPNT_COS_TRUST_MODE_SUPPORT_PRECEDENCE,
CoS_Trust_Mode_DSCP,True,Support trust Mode : DSCP,SYS_CPNT_COS_TRUST_MODE_SUPPORT_DSCP,
CoS_Trust_Mode_Default,CoS,Qos trust mode dafault value : CoS / DSCP / IP-Precedence,,
CoS_Trust_Mode_CoS,True,Support trust Mode : CoS,SYS_CPNT_COS_TRUST_MODE_SUPPORT_COS,
CoS_Queue_Weight_Max,255,Queue weight max value,SYS_ADPT_MAX_RATIO_OF_WRR,
CoS_Queue_Weight_Default,1 2 4 6,Queue weight default value,,
CoS_Queue_Property_Default,0 0 0 0,queue property default value : 0 (enabled) / 1 (disabled),,
CoS_Queue_Mode_WRR_Display,Weighted Round Robin,Queue mode WRR display value,,
CoS_Queue_Mode_StrictWRR_Display,Strict Priority +  Weighted Round Robin,Queue mode Strict and  WRR display value,,
CoS_Queue_Mode_Strict_Display,Strict priority,Queue mode Strict display value,,
CoS_Queue_Mode_Default,WRR,Default queue mode : wrr / strict / strict-wrr,,
CoS_PHB_Queue_Default,1 0 0 1 2 2 3 3,PHB queue default value,,
CoS_Error_Range,1,Error range,,
CoS_DscpMutation_Default_PHB_63,7,DSCP-Mutation 63 default PHB value,SYS_DFLT_DSCP_63_MAPPED_COS,
CoS_DscpMutation_Default_PHB_62,7,DSCP-Mutation 62 default PHB value,SYS_DFLT_DSCP_62_MAPPED_COS,
CoS_DscpMutation_Default_PHB_61,7,DSCP-Mutation 61 default PHB value,SYS_DFLT_DSCP_61_MAPPED_COS,
CoS_DscpMutation_Default_PHB_60,7,DSCP-Mutation 60 default PHB value,SYS_DFLT_DSCP_60_MAPPED_COS,
CoS_DscpMutation_Default_PHB_59,7,DSCP-Mutation 59 default PHB value,SYS_DFLT_DSCP_59_MAPPED_COS,
CoS_DscpMutation_Default_PHB_58,7,DSCP-Mutation 58 default PHB value,SYS_DFLT_DSCP_58_MAPPED_COS,
CoS_DscpMutation_Default_PHB_57,7,DSCP-Mutation 57 default PHB value,SYS_DFLT_DSCP_57_MAPPED_COS,
CoS_DscpMutation_Default_PHB_56,7,DSCP-Mutation 56 default PHB value,SYS_DFLT_DSCP_56_MAPPED_COS,
CoS_DscpMutation_Default_PHB_55,6,DSCP-Mutation 55 default PHB value,SYS_DFLT_DSCP_55_MAPPED_COS,
CoS_DscpMutation_Default_PHB_54,6,DSCP-Mutation 54 default PHB value,SYS_DFLT_DSCP_54_MAPPED_COS,
CoS_DscpMutation_Default_PHB_53,6,DSCP-Mutation 53 default PHB value,SYS_DFLT_DSCP_53_MAPPED_COS,
CoS_DscpMutation_Default_PHB_52,6,DSCP-Mutation 52 default PHB value,SYS_DFLT_DSCP_52_MAPPED_COS,
CoS_DscpMutation_Default_PHB_51,6,DSCP-Mutation 51 default PHB value,SYS_DFLT_DSCP_51_MAPPED_COS,
CoS_DscpMutation_Default_PHB_50,6,DSCP-Mutation 50 default PHB value,SYS_DFLT_DSCP_50_MAPPED_COS,
CoS_DscpMutation_Default_PHB_49,6,DSCP-Mutation 49 default PHB value,SYS_DFLT_DSCP_49_MAPPED_COS,
CoS_DscpMutation_Default_PHB_48,6,DSCP-Mutation 48 default PHB value,SYS_DFLT_DSCP_48_MAPPED_COS,
CoS_DscpMutation_Default_PHB_47,5,DSCP-Mutation 47 default PHB value,SYS_DFLT_DSCP_47_MAPPED_COS,
CoS_DscpMutation_Default_PHB_46,5,DSCP-Mutation 46 default PHB value,SYS_DFLT_DSCP_46_MAPPED_COS,
CoS_DscpMutation_Default_PHB_45,5,DSCP-Mutation 45 default PHB value,SYS_DFLT_DSCP_45_MAPPED_COS,
CoS_DscpMutation_Default_PHB_44,5,DSCP-Mutation 44 default PHB value,SYS_DFLT_DSCP_44_MAPPED_COS,
CoS_DscpMutation_Default_PHB_43,5,DSCP-Mutation 43 default PHB value,SYS_DFLT_DSCP_43_MAPPED_COS,
CoS_DscpMutation_Default_PHB_42,5,DSCP-Mutation 42 default PHB value,SYS_DFLT_DSCP_42_MAPPED_COS,
CoS_DscpMutation_Default_PHB_41,5,DSCP-Mutation 41 default PHB value,SYS_DFLT_DSCP_41_MAPPED_COS,
CoS_DscpMutation_Default_PHB_40,5,DSCP-Mutation 40 default PHB value,SYS_DFLT_DSCP_40_MAPPED_COS,
CoS_DscpMutation_Default_PHB_39,4,DSCP-Mutation 39 default PHB value,SYS_DFLT_DSCP_39_MAPPED_COS,
CoS_DscpMutation_Default_PHB_38,4,DSCP-Mutation 38 default PHB value,SYS_DFLT_DSCP_38_MAPPED_COS,
