Variable,Value,Description,Json Variable,Mapping Value
TG1MAC,0x00 0x00 0xe1 0x00 0x00 0x01,,,
TG2MAC,0x00 0x00 0xe2 0x00 0x00 0x01,,,
TG3MAC,0x00 0x00 0xe3 0x00 0x00 0x01,,,
TG4MAC,0x00 0x00 0xe4 0x00 0x00 0x01,,,
TG5MAC,0x00 0x00 0xe5 0x00 0x00 0x01,,,
TG6MAC,0x00 0x00 0xe6 0x00 0x00 0x01,,,
TG7MAC,0x00 0x00 0xe7 0x00 0x00 0x01,,,
TG8MAC,0x00 0x00 0xe8 0x00 0x00 0x01,,,
MULTICAST_MAC,0x01 0x00 0x5e 0x01 0x01 0x01,,,
MULTICAST_MAC_LEAVE,0x01 0x00 0x5e 0x00 0x00 0x02,,,
BROADCAST_MAC,0xff 0xff 0xff 0xff 0xff 0xff,,,
UNKNOWN_MAC,0x00 0x65 0x97 0xa3 0x5e 0x31,,,
PAUSE_MAC,0x01 0x80 0xC2 0x00 0x00 0x01,,,
ZERO_MAC,0x00 0x00 0x00 0x00 0x00 0x00,,,
Learning_Transmit_Count,100,Unit:  packets,,
10M_Transmit_Count,100000,Unit:  packets,,
100M_Transmit_Count,1000000,Unit:  packets,,
1G_Transmit_Count,10000000,Unit:  packets,,
10G_Transmit_Count,100000000,Unit:  packets,,
25G_Transmit_Count,250000000,Unit:  packets,,
40G_Transmit_Count,400000000,Unit:  packets,,
100G_Transmit_Count,1000000000,Unit:  packets,,
10M_Learning_Rate,100,Unit:  %,,
100M_Learning_Rate,0.018,Unit:  %,,
1G_Learning_Rate,100,Unit:  %,,
10G_Learning_Rate,100,Unit:  %,,
25G_Learning_Rate,100,Unit:  %,,
40G_Learning_Rate,100,Unit:  %,,
100G_Learning_Rate,100,Unit:  %,,
