Variable,Value,Description,Json Variable,Mapping Value
IPv6AddrConfig_Default_Status,stale,disabled(stale) or enabled,SYS_DFLT_IPV6_ENABLE,"""true false"" ""enabled stale"""
IPv6RemotePing_Default_Ping_Time,5,Default ping time for IPv6 Remote-Ping,,
IPv6RemotePing_Max_Ping_Time,16,Maximum ping time for IPv6 Remote-Ping,SYS_ADPT_MAX_PING6_NUM,
IPv6GblUniAddr_Max,32,Maximum IPv6 Global unicast address,SYS_ADPT_MAX_NBR_OF_RIF,
IPv6_IF_MTU_MIN,1280,Minimum of interface MTU.,,
IPv6_IF_MTU_MAX,1500,Maximum of interface MTU.,,
IPv6_IF_MTU_Default,1500,Default value of interface MTU,,
IPv6_nd_ns_intvl_Default,1000,Default value of Neighbor Soliciation Interval,SYS_DFLT_ND_NEIGHBOR_SOLICITATION_RETRANSMISSIONS_INTERVAL,
IPv6_nd_ns_intvl_MIN,1000,Minimum value of Neighbor Soliciation Interval,,
IPv6_nd_ns_intvl_MAX,3600000,Maximum value of Neighbor Soliciation Interval,,
IPv6_nd_DAD_Attempt_Default,1,Default value of ND DAD attempts.,SYS_DFLT_ND_DUPLICATE_ADDRESS_DETECTION_ATTEMPTS,
IPv6_nd_DAD_Attempt_MIN,0,Minimum value of ND DAD attempts.,,
IPv6_nd_DAD_Attempt_MAX,600,Maximum value of ND DAD attempts.,,
IPv6_OtherFlag_Default,0,Default value of IPv6 Other Managed Flag ,,
IPv6_Router_LifeTime_Default,1800,Default ND advertised router lifetime,SYS_DFLT_ND_ROUTER_ADVERTISEMENTS_ROUTER_LIFETIME,
IPv6_Router_LifeTime_MIN,0,Minimum ND advertised router lifetime,,
IPv6_Router_LifeTime_MAX,90000,Maximum ND advertised router lifetime,,
IPv6_Neighbor_Cache_MAX,256,Maximum Neighbor Cache,SYS_ADPT_MAX_NBR_OF_STATIC_NEIGHBOR_CACHE_ENTRY,
