Variable,Value,Description,Json Variable,Mapping Value
sysAll,1.3.6.1.2.1.1,,,
sysDescr,1.3.6.1.2.1.1.1.0,,,
sysObjectID,1.3.6.1.2.1.1.2.0,,,
sysUpTime,1.3.6.1.2.1.1.3.0,,,
sysContact,1.3.6.1.2.1.1.4.0,,,
sysName,1.3.6.1.2.1.1.5.0,,,
sysLocation,1.3.6.1.2.1.1.6.0,,,
sysServices,1.3.6.1.2.1.1.7.0,,,
ifNamber,1.3.6.1.2.1.2.1.0,,,
ifDescr,1.3.6.1.2.1.2.2.1.2.1,,,
ifType,1.3.6.1.2.1.2.2.1.3.1,,,
ifMtu,1.3.6.1.2.1.2.2.1.4.1,,,
ifSpeed,1.3.6.1.2.1.2.2.1.5,,,
ifPhyAddress,1.3.6.1.2.1.2.2.1.6.,,,
ifAdminStatus,1.3.6.1.2.1.2.2.1.7.1,,,
ifOperStatus,1.3.6.1.2.1.2.2.1.8.,,,
ifLastChange,1.3.6.1.2.1.2.2.1.9.1,,,
ifInOctets,1.3.6.1.2.1.2.2.1.10,,,
ifInUcastPkts,1.3.6.1.2.1.2.2.1.11,,,
ifInNUcastPkts,1.3.6.1.2.1.2.2.1.12,,,
ifInDiscards,1.3.6.1.2.1.2.2.1.13,,,
ifInErrors,1.3.6.1.2.1.2.2.1.14,,,
ifInUnknownProtos,1.3.6.1.2.1.2.2.1.14.1,,,
ifOutOctets,1.3.6.1.2.1.2.2.1.16,,,
ifOutUcastPkts,1.3.6.1.2.1.2.2.1.17,,,
ifOutNUcastPkts,1.3.6.1.2.1.2.2.1.18,,,
ifOutDiscards,1.3.6.1.2.1.2.2.1.19.1,,,
ifOutErrors,1.3.6.1.2.1.2.2.1.20.1,,,
ifOutQLen,1.3.6.1.2.1.2.2.1.21.1,,,
ifSpecific,1.3.6.1.2.1.2.2.1.22.1,,,
ipForwarding,1.3.6.1.2.1.4.1.0,,,
ipDefaultTTL,1.3.6.1.2.1.4.2.0,,,
ipInReceives,1.3.6.1.2.1.4.3.0,,,
ipInHdrErrors,1.3.6.1.2.1.4.4,,,
ipInAddrErrors,1.3.6.1.2.1.4.5,,,
ipForwDatagrams,1.3.6.1.2.1.4.6.0,,,
ipInUnknownProtos,1.3.6.1.2.1.4.7,,,
ipInDiscards,1.3.6.1.2.1.4.8.0,,,
ipInDelivers,1.3.6.1.2.1.4.9.0,,,
ipOutRequests,1.3.6.1.2.1.4.10.0,,,
ipOutDiscards,1.3.6.1.2.1.4.11.0,,,
ipOutNoRoutes,1.3.6.1.2.1.4.12.0,,,
ipReasmTimeout,1.3.6.1.2.1.4.13.0,,,
ipReasmReqds,1.3.6.1.2.1.4.14.0,,,
ipReasmOKs,1.3.6.1.2.1.4.15.0,,,
ipReasmFails,1.3.6.1.2.1.4.16.0,,,
ipFragOKs,1.3.6.1.2.1.4.17.0,,,
ipFragFails,1.3.6.1.2.1.4.18.0,,,
ipFragCreates,1.3.6.1.2.1.4.19.0,,,
ipAdEntAddr,1.3.6.1.2.1.4.20.1.1.,,,
ipAdEntIfIndex,1.3.6.1.2.1.4.20.1.2.,,,
ipAdEntNetMask,1.3.6.1.2.1.4.20.1.3.,,,
ipAdEntBcastAddr,1.3.6.1.2.1.4.20.1.4.,,,
ipRouteDest,1.3.6.1.2.1.4.21.1.1.,,,
ipRouteIfIndex,1.3.6.1.2.1.4.21.1.2.,,,
ipRouteMetric1,1.3.6.1.2.1.4.21.1.3.,,,
ipRouteMetric2,1.3.6.1.2.1.4.21.1.4.,,,
ipRouteMetric3,1.3.6.1.2.1.4.21.1.5.,,,
ipRouteMetric4,1.3.6.1.2.1.4.21.1.6.,,,
ipRouteNextHop,1.3.6.1.2.1.4.21.1.7.,,,
ipRouteType,1.3.6.1.2.1.4.21.1.8.,,,
