Variable,Value,Description,Json Variable,Mapping Value
OSPF_Hello_Interval_Default,10,Default value of OSPF Hello interval,SYS_DFLT_OSPF_IF_HELLO_INTERVAL,
OSPF_Hello_Interval_MAX,65535,MAX value of OSPF Hello interval,SYS_ADPT_MAX_OSPF_IF_HELLO_INTERVAL,
OSPF_Hello_Interval_MIN,1,MIN value of OSPF Hello interval,SYS_ADPT_MIN_OSPF_IF_HELLO_INTERVAL,
OSPF_Dead_Interval_Default,40,Default value of OSPF Dead interval,SYS_DFLT_OSPF_IF_RTR_DEAD_INTERVAL,
OSPF_Dead_Interval_MAX,65535,MAX value of OSPF Dead interval,SYS_ADPT_MAX_OSPF_IF_RTR_DEAD_INTERVAL,
OSPF_Dead_Interval_MIN,1,MIN value of OSPF Dead interval,SYS_ADPT_MIN_OSPF_IF_RTR_DEAD_INTERVAL,
OSPF_Priority_Default,40,Default value of OSPF Priority,SYS_DFLT_OSPF_IF_RTR_PRIORITY,
OSPF_Priority_MAX,255,MAX value of OSPF Priority,SYS_ADPT_MAX_OSPF_IF_RTR_PRIORITY,
OSPF_Priority_MIN,1,MIN value of OSPF Priority,SYS_ADPT_MIN_OSPF_IF_RTR_PRIORITY,
OSPF_Cost_IF_Default,1,Default value of OSPF cost in interface,SYS_DFLT_OSPF_IF_COST,
OSPF_Retrans_Interval_Default,5,Default value of OSPF Retransmit interval,SYS_DFLT_OSPF_IF_RETRANS_INTERVAL,
OSPF_Retrans_Interval_MAX,65535,MAX value of OSPF Retransmit interval,SYS_ADPT_MAX_OSPF_IF_RETRANS_DELAY,
OSPF_Retrans_Interval_MIN,1,MIN value of OSPF Retransmit interval,SYS_ADPT_MIN_OSPF_IF_RETRANS_DELAY,
