Variable,Value,Description,Json Variable,Mapping Value
Radius_Acct_Max_Group,5,Maximum number of RADIUS server groups,SYS_ADPT_MAX_NBR_OF_AAA_RADIUS_GROUP,
Radius_Acct_Max_Server,5,Maximum number of RADIUS servers per group,SYS_ADPT_MAX_NBR_OF_RADIUS_SERVERS,
Radius_Acct_Max_Accounting,5,Maximum number of accounting methods,SYS_ADPT_MAX_NBR_OF_ACCOUNTING_LIST,
Radius_Acct_Method_Default,default,Default accounting method name,SYS_DFLT_AAA_METHOD_LIST_NAME,
Radius_Acct_Group_Default,radius,Default radius group name,SYS_DFLT_AAA_RADIUS_GROUP_NAME,
Radius_Acct_Group_Name_Max,64,Maximum length of RADIUS server group name,SYS_ADPT_MAX_LEN_OF_AAA_SERVER_GROUP_NAME,
Radius_Acct_Accounting_Name_Max,64,Maximum length of accounting list name,SYS_ADPT_MAX_LEN_OF_ACCOUNTING_LIST_NAME,
Radius_Acct_Update_Status_Default,enabled,Default status of accounting update,SYS_DFLT_ACCOUNTING_ENABLE,"false true ""enabled disabled"""
Radius_Acct_Update_Inter_Default,1,Default accounting update interval in minutes,SYS_DFLT_ACCOUNTING_UPDATE_INTERVAL,
Radius_Acct_Update_Inter_Min,1,Minimum accounting update interval in minutes,SYS_ADPT_MIN_ACCOUNTING_UPDATE_INTERVAL,
Radius_Acct_Update_Inter_Max,2147483647,Maximum accounting update interval in minutes,SYS_ADPT_MAX_ACCOUNTING_UPDATE_INTERVAL,
Radius_Acct_Accounting_Port_Default,1813,Default RADIUS accounting port number,SYS_DFLT_RADIUS_ACC_CLIENT_SERVER_PORT_NUMBER,
Radius_Acct_Accounting_Port_Min,1,Minimum RADIUS accounting port number,MIN_radiusServerAcctPortNumber,
Radius_Acct_Accounting_Port_Max,65535,Maximum RADIUS accounting port number,MAX_radiusServerAcctPortNumber,
Radius_Acct_Auth_Port_Default,1812,Default RADIUS authorization port number,SYS_DFLT_RADIUS_AUTH_CLIENT_SERVER_PORT_NUMBER,
Radius_Acct_Auth_Port_Min,1,Minimum RADIUS authorization port number,MIN_radiusServerAuthPortNumber,
Radius_Acct_Auth_Port_Max,65535,Maximum RADIUS authorization port number,MAX_radiusServerAuthPortNumber,
Radius_Acct_Secret_Key_Min,0,Minimum RADIUS secret key length,SYS_ADPT_RADIUS_SECRET_KEY_MIN_LENGTH,
Radius_Acct_Secret_Key_Max,48,Maximum RADIUS secret key length,SYS_ADPT_RADIUS_SECRET_KEY_MAX_LENGTH,
Radius_Acct_Glb_Retrans_Default,2,Default global RADIUS retransmit number,SYS_DFLT_RADIUS_AUTH_CLIENT_ACCESS_RETRANSMISSIONS,
Radius_Acct_Glb_Retrans_Min,1,Minimum global RADIUS retransmit number,MIN_radiusServerGlobalRetransmit,
Radius_Acct_Glb_Retrans_Max,30,Maximum global RADIUS retransmit number,MAX_radiusServerGlobalRetransmit,
Radius_Acct_Glb_Timeout_Default,5,Default global RADIUS timeout in seconds,SYS_DFLT_RADIUS_AUTH_CLIENT_TIMEOUTS,
Radius_Acct_Glb_Timeout_Min,1,Minimum global RADIUS timeout in seconds,MIN_radiusServerGlobalTimeout,
Radius_Acct_Glb_Timeout_Max,65535,Maximum global RADIUS timeout in seconds,MAX_radiusServerGlobalTimeout,
