Variable,Value,Description,Json Variable,Mapping Value
SNMP_Community_Max,32,Max number allowed characters for community string,MAXSIZE_trapDestCommunity_2,
SNMP_Contact_Default,,Default contact string for SNMP,SYS_DFLT_SYS_CONTACT,
SNMP_Contact_Max,255,Max number allowed characters for SNMP contact string,MAXSIZE_sysContact,
SNMP_Location_Default,,Default location string for SNMP,SYS_DFLT_SYS_LOCATION,
SNMP_Location_Max,255,Max number allowed characters for SNMP location string,MAXSIZE_sysLocation,
SNMP_SysName_Default,,Default system name string,SYS_DFLT_SYS_NAME,
SNMP_SysName_Max,255,Max number allowed characters for system name string,MAXSIZE_sysName,
SNMP_UDP_Port_Default,162,Default value of UDP port for SNMP,SYS_DFLT_TRAP_UDP_PORT,
SNMP_UDP_Port_Max,65535,Max value of UDP port for SNMP,MAX_trapDestUdpPort,
SNMP_UDP_Port_Min,1,Min value of UDP port for SNMP,MIN_trapDestUdpPort,
SNMP_UDP_Version_Default,1,Default version of SNMP,SYS_DFLT_TRAP_SNMP_VERSION,
SNMP_Inform_Timeout_Default,1500,Default inform timeout value,SYS_DFLT_SNMP_TARGET_ADDR_TIMEOUT,
SNMP_Inform_Timeout_Max,2147483647,Max timeout value,SYS_ADPT_MAX_SNMP_TARGET_ADDR_TIMEOUT,
SNMP_Inform_Timeout_Min,0,Min timeout value,SYS_ADPT_MIN_SNMP_TARGET_ADDR_TIMEOUT,
SNMP_Inform_Retry_Default,3,Default retry count for inform,,
SNMP_Inform_Retry_Max,255,Max retry count for inform,MAX_snmpTargetAddrRetryCount,
SNMP_Inform_Retry_Min,0,Min retry count for inform,MIN_snmpTargetAddrRetryCount,
SNMP_TrapAuthrentication,Enabled,Default status of Trap Authentication,SYS_DFLT_SNMP_ENABLE_AUTHEN_TRAPS,"""1 2"" ""Enabled Disabled"""
SNMP_LinkUPDown_Trap_Type,interface,"The Link up, down is in global or interface",,
SNMP_LinkUPDown_Trap_Default,Enabled,"The Link up, down status",SYS_DFLT_IF_LINK_UP_DOWN_TRAP_ENABLE,"""1 2"" ""Enabled Disabled"""
SNMP_Engine_ID_Length_Max,64,MAX length of SNMP engine ID,,
SNMP_Engine_ID_Length_Min,10,MINI length of SNMP engine ID,,
SNMP_GroupName_Length_Max,32,MAX length of SNMP group name,SYS_ADPT_SNMP_ADMIN_STRING_LENGTH,
SNMP_GroupName_Length_Min,1,MINI length of SNMP group name,,
SNMP_Group_Max,26,"How many groups could be created (exclude default private and public for v1, v2)",,
SNMP_UserName_Length_Max,32,MAX length of SNMP user name,SYS_ADPT_SNMP_ADMIN_STRING_LENGTH,
SNMP_UserName_Length_Min,1,MINI length of SNMP user name,,
SNMP_User_Max,15,How many users could be created ,,
SNMP_UserPass_Length_Max,32,MAX length of SNMP user password,SYS_ADPT_MAX_PASSWORD_LEN,
SNMP_UserPass_Length_Min,8,MINI length of SNMP user password,,
SNMP_ViewName_Length_Max,32,MAX length of SNMP view name,,
SNMP_ViewName_Length_Min,1,MINI length of SNMP view name,,
