Variable,Value,Description,Json Variable,Mapping Value
STP_Global_SpanningTree_Status_Default,Enabled,"Default spanning tree state in global. Argument: Enabled, Disabled.",SYS_DFLT_STP_MODE,"""1 2"" ""Enabled Disabled"""
STP_Port_SpanningTree_Status_Default,Enabled,"Default spanning tree state in port. Argument: Enabled, Disabled.",SYS_DFLT_XSTP_PORT_MODE,"""1 2"" ""Enabled Disabled"""
STP_SpanningTree_Mode_Default,RSTP,"Default spanning tree mode. Argument: STP, RSTP or MSTP.",SYS_DFLT_STP_PROTOCOL_TYPE,"""1 2 3"" ""STP RSTP MSTP"""
STP_Bridge_Priority_Default,32768,Default spanning-tree priority in global.,SYS_DFLT_XSTP_BRIDGE_PRIORITY,
STP_Bridge_Priority_Min,0,Minimum spanning-tree priority in global.,MIN_xstInstanceCfgPriority,
STP_Bridge_Priority_Max,61440,Maximum spanning-tree priority in global.,MAX_xstInstanceCfgPriority,
STP_Port_Priority_Default,128,Default spanning-tree priority in port.,SYS_DFLT_XSTP_PORT_PRIORITY,
STP_Port_Priority_Min,0,Minimum spanning-tree priority in port.,MIN_xstInstancePortPriority,
STP_Port_Priority_Max,240,Maximum spanning-tree priority in port.,MAX_xstInstancePortPriority,
STP_Edge_Port_Default,Auto,"Default spanning-tree edge port state. Argument: Auto, Enabled, Disabled.",SYS_DFLT_STP_PORT_ADMIN_EDGE_PORT,"""1 2 3"" ""true false auto"""
STP_Edge_Port_Error_Range,5,The error range of the time of port entered forwarding state. Unit: second.,,
STP_Link_Type,Auto,"Default spanning-tree link type state. Argument: Auto,  Point-to-point, Shared.",SYS_DFLT_STP_PORT_LINK_TYPE_MODE,"""0 1 2"" ""Point-to-point Shared Auto"""
STP_Hello_Time_Default,2,Default STA hello time. Unit: seconds.,SYS_DFLT_XSTP_BRIDGE_HELLO_TIME,
STP_Hello_Time_Min,1,Minimum STA hello time. Unit: seconds.,MIN_dot1dStpBridgeHelloTime,
STP_Hello_Time_Max,10,Maximum STA hello time. Unit: seconds.,MAX_dot1dStpBridgeHelloTime,
STP_Max_Age_Default,20,Default STA max age. Unit: seconds.,SYS_DFLT_XSTP_BRIDGE_MAX_AGE,
STP_Max_Age_Min,6,Minimum STA max age. Unit: seconds.,MIN_dot1dStpBridgeMaxAge,
STP_Max_Age_Max,40,Maximum STA max age. Unit: seconds.,MAX_dot1dStpBridgeMaxAge,
STP_Forward_Delay_Time_Default,15,Default STA forward delay time. Unit: seconds.,SYS_DFLT_XSTP_BRIDGE_FORWARD_DELAY,
STP_Forward_Delay_Time_Min,4,Minimum STA forward delay time. Unit: seconds.,MIN_dot1dStpBridgeForwardDelay,
STP_Forward_Delay_Time_Max,30,Maximum STA forward delay time. Unit: seconds.,MAX_dot1dStpBridgeForwardDelay,
STP_Path_Cost_Method_Default,Long,"Default spanning tree path cost method. Argument: Short, Long",SYS_DFLT_STP_PATH_COST_METHOD,"""1 2"" ""Short Long"""
STP_System_Bpdu_Flooding_Behavior_Support,1,Support system bpdu flooding behavior or not. 1: support. 0: no support.,SYS_CPNT_XSTP_CONFIGURABLE_FLOODING,
STP_System_Bpdu_Flooding_Behavior_Default,to-vlan,"( Global ) Default BPDU flooding behavior when STP is globally disabled. Argument: to-all, to-vlan.",SYS_DFLT_XSTP_FLOODING_BEHAVIOR,"""1 2"" ""to-vlan to-all"""
STP_Port_Bpdu_Flooding_Behavior_Support,1,Support port bpdu flooding behavior or not. 1: support. 0: no support.,SYS_CPNT_XSTP_CONFIGURABLE_FLOODING,
STP_Port_Bpdu_Flooding_Behavior_Default,Enabled,"( Port ) Default BPDU flooding when port is STP disabled. Argument: Enabled, Disabled.",SYS_DFLT_XSTP_PORT_FLOODING,"""1 2"" ""Enabled Disabled"""
STP_Loopback_Detection_Support,1,Support loopback detection or not. 1: support. 0: no support.,SYS_CPNT_STP_LOOPBACK_DETECTION,
STP_Loopback_Detection_Status,Enabled,"Default spanning tree loopback detection state. Argument: Enabled, Disabled.",SYS_DFLT_LOOPBACK_DETECTOIN_STATUS,"""1 2"" ""Enabled Disabled"""
