Variable,Value,Description,Json Variable,Mapping Value
Auto_Upgrade_Opcode_Default,ECS2100_V1.2.2.1.bix,need modify,,
Auto_Upgrade_Opcode,op1.bix,,,
Auto_Upgrade_Opcode_Version_Default,1.2.2.1,need modify,,
Auto_Upgrade_Opcode_Version,99.99.99.99,need modify,,
Auto_Upgrade_Time,150,,,
Auto_Upgrade_Time_With_Reload_Enable,450,,,
Auto_Upgrade_Server_IP,192.168.1.150,Connected PC(need modify),,
Auto_Upgrade_Server_Name,network_1,need modify(may use DUT1 LAN_NAME),,
Auto_Upgrade_FTP_Username,test,,,
Auto_Upgrade_FTP_Password,testtest,,,
Auto_Upgrade_FTP_Path,ftp://test:testtest@192.168.1.150/,need modify,,
Auto_Upgrade_Tftp_Path,tftp://192.168.1.150/,need modify,,
Auto_Upgrade_FTP_Path1,ftp://test:testtest@1.1.1.1/,,,
Auto_Upgrade_Tftp_Path1,tftp://1.1.1.1/,,,
Auto_Upgrade_FTP_Path2,ftp://test:testtest@2.2.2.2/,,,
Auto_Upgrade_Tftp_Path2,tftp://2.2.2.2/,,,
Auto_Upgrade_Http_Path,http://1.1.1.1/,,,
Auto_Upgrade_Exclude_Username_Password_Path1,ftp://1.1.1.1/,,,
Auto_Upgrade_Exclude_Username_Password_Path2,ftp://@1.1.1.1/,,,
Auto_Upgrade_Exclude_Username_Password_Path3,tftp://@1.1.1.1/,,,
Auto_Upgrade_Exclude_IP_Path1,ftp://test:testtest/,,,
Auto_Upgrade_Exclude_IP_Path2,tftp://test:testtest/,,,
Auto_Upgrade_Include_Directory_Path1,tftp://1.1.1.1/test/,,,
Auto_Upgrade_Include_Directory_Path2,ftp://test:testtest@1.1.1.1/test/,,,
Auto_Upgrade_Include_Filename_Path1,tftp://1.1.1.1/test.bix,,,
Auto_Upgrade_Include_Filename_Path2,ftp://test:testtest@1.1.1.1/test.bix,,,
Auto_Upgrade_Error_Character_Path1,tftp://1.1.1.1,,,
Auto_Upgrade_Error_Character_Path2,ftp://test:testtest@1.1.1.1,,,
Auto_Upgrade_Inexistent_Server_Path,tftp://192.168.1.200/,The PC TFTP service no start ,,
Auto_Upgrade_Error_Username_Password_Path,ftp://test:error@192.168.1.150/,,,
Auto_Upgrade_Server_Inexistent_IP_Path,tftp://2.2.2.2/,,,
Auto_Upgrade_Inexistent_Path,tftp://192.168.1.150/test,,,
Auto_Upgrade_Interface_IP,192.168.1.1,Mgt VLAN IP(need modify),,
Auto_Upgrade_Interface_MASK,255.255.0.0,Mgt VLAN MASK(need modify),,
Auto_Upgrade_Times,2,need modify,,
Single_Image_Opcode,op.bix,,,
Two_Image_Opcode_1,op1.bix,,,
Two_Image_Opcode_2,op2.bix,,,
Auto_Upgrade_Syslog_Host_IP,192.168.1.150,need modify,,
Auto_Upgrade_Syslog_Host_Inexistent_IP,1.1.1.1,,,
Auto_Upgrade_SNMP_Host_IP,192.168.1.150,need modify,,
Auto_Upgrade_SNMP_Host_Inexistent_IP,1.1.1.1,,,
FileCopyFileType_Oid,.3.6.1.4.1.259.10.1.43.1.24.1.5.0,need modify,,
FileCopyFileType_Value,1,,,
TrapAutoUpgradeType,104,,,
TrapAutoUpgradeResult_Oid,.3.6.1.4.1.259.10.1.43.1.14.2.22.0,need modify,,
TrapAutoUpgradeResult_Value,1,,,
TrapAutoUpgradeNewVer_Oid,.3.6.1.4.1.259.10.1.43.1.14.2.23.0,need modify,,
TrapAutoUpgradeNewVer_Value,39392e39392e39392e3939000000000000000000,99.99.99.99 ASCII,,
Auto_Upgrade_SMTP_Host_IP,192.168.1.150,need modify,,
Auto_Upgrade_SMTP_Sourceemail,test1@test.com,need modify,,
Auto_Upgrade_SMTP_Destinationemail,test2@test.com,need modify,,
Auto_Upgrade_Server_NIC_Id,1,,,
