Variable,Value,Description,Json Variable,Mapping Value
Diffserv_Class_Maps_Mactch_Max_Vlaue,16,Class map match max vlaue,SYS_ADPT_DIFFSERV_MAX_CLASS_NBR_OF_CLASS_MAP,
Diffserv_CBS_Maximum,16000000,Committed Burst Size,SYS_ADPT_DIFFSERV_MAX_POLICE_BURST,
Diffserv_CBS_Minimum,0,Committed Burst Size,SYS_ADPT_DIFFSERV_MIN_POLICE_BURST,
Diffserv_CIR_Maximum,1000000,Committed Information Rate,SYS_ADPT_DIFFSERV_MAX_POLICE_RATE,
Diffserv_CIR_Minimum,0,Committed Information Rate,SYS_ADPT_DIFFSERV_MIN_POLICE_RATE,
Diffserv_Class_Maps_Maximum_Count,1024,Class map maximum count,SYS_ADPT_DIFFSERV_MAX_NBR_OF_CLASS_MAP,
Diffserv_EBS_Maximum,16000000,Excess Burst Size,SYS_ADPT_DIFFSERV_MAX_POLICE_BURST,
Diffserv_EBS_Minimum,0,Excess Burst Size,SYS_ADPT_DIFFSERV_MIN_POLICE_BURST,
Diffserv_Packets_Error_Range,3,Pakcets Error Range,,
Diffserv_Packets_Error_Range_Unit,Percent,Error range unit : Percent / Packets,,
Diffserv_PBS_Maximum,16000000,Peak Burst Size,SYS_ADPT_DIFFSERV_MAX_POLICE_BURST,
Diffserv_PBS_Minimum,0,Peak Burst Size,SYS_ADPT_DIFFSERV_MIN_POLICE_BURST,
Diffserv_PIR_Maximum,1000000,Peak Information Rate,SYS_ADPT_DIFFSERV_MAX_POLICE_RATE,
Diffserv_PIR_Minimum,0,Peak Information Rate,SYS_ADPT_DIFFSERV_MIN_POLICE_RATE,
Diffserv_Policy_Maps_Combine_Class_Maps_Maximum_Count,200,policy map combine class map maximum count,SYS_ADPT_DIFFSERV_MAX_CLASS_MAP_NBR_OF_POLICY_MAP,
Diffserv_Policy_Maps_Maximum_Count,32,Policy map maximum count,SYS_ADPT_DIFFSERV_MAX_NBR_OF_POLICY_MAP,
Diffserv_Reboot_Count,10,Reboot count,,
Diffserv_Class_Action_Mode,5,"COS=1, PHB=2, DSCP=4, Precedence=8",SYS_CPNT_QOS_DIFFSERV_CLASS_SET_ACTION_MODE,
Diffserv_Name_Max_Length,32,The name of Policy / Class map max length,SYS_ADPT_DIFFSERV_MAX_NAME_LENGTH,
Diffserv_Description_Max_Length,64,The description of Policy / Class name max length,SYS_ADPT_DIFFSERV_MAX_DESCRIPTION_LENGTH,
