Variable,Value,Description,Json Variable,Mapping Value
GVRP_RECEIVETIMEOUT,1,,,
GVRP_LEAVEALLTIME_Min,500,Minimum value of Leave All time,SYS_ADPT_GARP_MIN_LEAVEALL_TIME,
GVRP_LEAVEALLTIME_Default,1000,::SYS_DFLT_1D_PORT_GARP_LEAVE_ALL_TIME,SYS_DFLT_1D_PORT_GARP_LEAVE_ALL_TIME,
GVRP_LEAVEALLTIME_Max,18000,::SYS_ADPT_GARP_MAX_LEAVEALL_TIME,SYS_ADPT_GARP_MAX_LEAVEALL_TIME,
GVRP_LEAVETIME_Min,60,Minimum value of Leave time,SYS_ADPT_GARP_MIN_LEAVE_TIME,
GVRP_LEAVETIME_Default,60,::SYS_DFLT_1D_PORT_GARP_LEAVE_TIME,SYS_DFLT_1D_PORT_GARP_LEAVE_TIME,
GVRP_LEAVETIME_Max,3000,::SYS_ADPT_GARP_MAX_LEAVE_TIME,SYS_ADPT_GARP_MAX_LEAVE_TIME,
GVRP_JOINTIME_Min,20,Minimum value of Join time,SYS_ADPT_GARP_MIN_JOIN_TIME,
GVRP_JOINTIME_Default,20,::SYS_DFLT_1D_PORT_GARP_JOIN_TIME,SYS_DFLT_1D_PORT_GARP_JOIN_TIME,
GVRP_JOINTIME_Max,1000,::SYS_ADPT_GARP_MAX_JOIN_TIME,SYS_ADPT_GARP_MAX_JOIN_TIME,
GVRP_VID_MAX,256,::SYS_ADPT_LAST_DYNAMIC_VLAN_ID,SYS_ADPT_LAST_DYNAMIC_VLAN_ID,
GVRP_Status_Global_Default,Disabled,::SYS_DFLT_1Q_GVRP_STATUS,SYS_DFLT_1Q_GVRP_STATUS,"""1 2"" ""Enabled Disabled"""
GVRP_Status_Port_Default,Disabled,::SYS_DFLT_1Q_PORT_GVRP_STATUS,SYS_DFLT_1Q_PORT_GVRP_STATUS,"""1 2"" ""Enabled Disabled"""
