Variable,Value,Description,Json Variable,Mapping Value
LLDP_Global_Status_Default,Enabled,,SYS_DFLT_LLDP_SYS_ADMIN_STATUS,"""true false"" ""Enabled Disabled"""
Hold_Time_Multiplier_Default,4,,SYS_DFLT_LLDP_TX_HOLD_MUL,
Hold_Time_Multiplier_Max,10,,MAX_lldpMessageTxHoldMultiplier,
Hold_Time_Multiplier_Min,2,,MIN_lldpMessageTxHoldMultiplier,
Refresh_Interval_Default,30,,SYS_DFLT_LLDP_TX_INTERVAL,
Refresh_Interval_Max,32768,,MAX_lldpMessageTxInterval,
Refresh_Interval_Min,5,,MIN_lldpMessageTxInterval,
Reinit_Delay_Default,2,,SYS_DFLT_LLDP_REINIT_DELAY,
Reinit_Delay_Max,10,,MAX_lldpReinitDelay,
Reinit_Delay_Min,1,,MIN_lldpReinitDelay,
MED_Fast_Start_Count_Default,4,,SYS_DFLT_LLDP_FAST_START_REPEAT_COUNT,
MED_Fast_Start_Count_Max,10,,MAX_lldpXMedFastStartRepeatCount,
MED_Fast_Start_Count_Min,1,,MIN_lldpXMedFastStartRepeatCount,
Tx_Delay_Default,2,,SYS_DFLT_LLDP_TX_DELAY,
Tx_Delay_Max,8192,,MAX_lldpTxDelay,
Tx_Delay_Min,1,,MIN_lldpTxDelay,
Notification_Interval_Default,5,,SYS_DFLT_LLDP_NOTIFY_INTERVAL,
Notification_Interval_Max,3600,,MAX_lldpNotificationInterval,
Notification_Interval_Min,5,,MIN_lldpNotificationInterval,
LLDP_Support_Protocol_Identity,88cc,The value of the first protocol identify TLV,,
MaximumFrameSize,10240,,SYS_ADPT_MAX_JUMBO_MTU,
LLDP_Port_Subtype_TLV_Length,7,,,
TIA_Support_Software_Revision,false,,,
TIA_Support_Manufacturer_Name,true,,,
Support_Manager_Ip_By_Port,false,,,
LLDP_Capabilities,0x0004,"0x0004: Bridge Only
0x0014: Bridge & Router",,
LLDP_Inherit_Property,true,,,
LLDP_MedCap_Default,disable,,,
LLDP_Port_Description_Default,enable,,,
LLDP_Manager_Ip_Address_Stauts_Default,enable,,,
LLDP_Manager_Ip_Address_Default,disable,,,
LLDP_System_Name_Status_Default,enable,,,
LLDP_Admin_Status_Default,Tx-Rx,,SYS_DFLT_LLDP_PORT_ADMIN_STATUS,"""1 2 3 4"" ""tx-only rx-only Tx-Rx disabled"""
LLDP_System_Capabilities_Default,enable,,,
LLDP_System_Description_Default,enable,,,
LLDP_Dot1_ProtoIdent_Default,enable,,,
LLDP_Dot1_Pvid_Default,enable,,,
LLDP_Dot1_Vlan_Name_Default,enable,,,
LLDP_Dot1_Proto_Vid_Default,enable,,,
LLDP_Dot3_Mac_Phy_Default,enable,,,
LLDP_Dot3_Link_Agg_Default,enable,,,
LLDP_Dot3_Max_Frame_Default,enable,,,
LLDP_Notification_Default,enable,,SYS_DFLT_LLDP_PORT_NOTIFY,"""1 2"" ""Enabled Disabled"""
LLDP_Support_Portandprotocolvlanidentifier,1,,,
