Variable,Value,Description,Json Variable,Mapping Value
Relayswitch_COM_PORT,com9,,,
Relayswitch_UI,CLI,,,
Relayswitch_PORT_NUMBER,52,,,
Relayswitch_BAUDRATE,115200,,,
Relayswitch_USERNAME,admin,,,
Relayswitch_PASSWORD,admin,,,
Relayswitch_PORT_1,1/49,connect to DUT1PA,,
Relayswitch_PORT_2,1/50,connect to DUT1PB,,
Relayswitch_PORT_3,1/3,connect to DUT2PA,,
Relayswitch_PORT_4,1/4,connect to DUT2PB,,
Relayswitch_PORT_5,1/5,connect to DUT3PA,,
Relayswitch_PORT_6,1/6,connect to DUT3PB,,
Relayswitch_PORT_7,1/7,connect to DUT4PA,,
Relayswitch_PORT_8,1/8,connect to DUT4PB,,
Relayswitch_PC,1/48,connect to PC,,
