Variable,Value,Description,Json Variable,Mapping Value
8021x_Reauth_timeout_default,3600,seconds,SYS_DFLT_DOT1X_AUTH_REAUTH_PERIOD,
8021x_Reauth_timeout_Max,65535,seconds,,
8021x_Reauth_timeout_Min,1,second,,
8021x_Quiet_period_default,60,seconds,SYS_DFLT_DOT1X_AUTH_QUIET_PERIOD,
8021x_Quiet_period_Max,65535,seconds,,
8021x_Quiet_period_Min,1,second,,
8021x_TX_period_default,30,seconds,SYS_DFLT_DOT1X_AUTH_TX_PERIOD,
8021x_TX_period_Max,65535,seconds,,
8021x_TX_period_Min,1,second,,
8021x_Supp_period_default,30,seconds,SYS_DFLT_DOT1X_AUTH_SUPP_TIMEOUT,
8021x_Supp_period_Max,65535,seconds,,
8021x_Supp_period_Min,1,second,,
8021x_Max_Reauth_Retry_Max,10,times,MAX_dot1xAuthMaxReauthReq,
8021x_Max_Reauth_Retry_Min,1,times,MIN_dot1xAuthMaxReauthReq,
8021x_Max_Reauth_Retry_default,2,times,SYS_DFLT_DOT1X_AUTH_MAX_REAUTH_REQ,
8021x_Max_Req_Max,10,times,,
8021x_Max_Req_Min,1,times,,
8021x_Max_Req_default,2,times,SYS_DFLT_DOT1X_AUTH_MAX_REQ,
MACAuth_Max_Mac_Count_Max,2048,times,MAX_macAuthPortMaxMacCount,
MACAuth_Max_Mac_Count_Min,1,times,MIN_macAuthPortMaxMacCount,
MACAuth_Max_Mac_Count_default,1024,times,SYS_DFLT_NETACCESS_MACAUTH_SECURE_ADDRESSES_PER_PORT,
8021x_Max_Mac_Count_Max,1024,times,MAX_dot1xAuthConfigExtMultiHostMaxCnt,
8021x_Max_Mac_Count_Min,1,times,MIN_dot1xAuthConfigExtMultiHostMaxCnt,
8021x_Max_Mac_Count_default,5,times,,
8021x_MAC_Reauth_timeout_default,1800,seconds,SYS_DFLT_NETACCESS_SECURE_REAUTH_TIME,
8021x_MAC_Reauth_timeout_Max,1000000,seconds,MAX_macAuthReAuthTime,
8021x_MAC_Reauth_timeout_Min,120,second,MIN_macAuthReAuthTime,
8021x_EAPOL_PassThrough_Default,Disabled,"Disabled, Enabled or not check (give nothing)",,
8021x_IdentityProFile_Default,,"Identity profile name(null, value or false to not check)",,
MACAuth_Port_DVLAN_Default,Enable,Default value of network-access dynamic-vlan for port,SYS_CPNT_NETACCESS_MACAUTH,"""true false"" ""Enable Disable"""
8021x_DQoS_Default,Enable,Default value of network-access dynamic-QoS for port,SYS_DFLT_NETACCESS_DYNAMIC_QOS_ENABLE,"""true false"" ""Enable Disable"""
