Variable,Value,Description,Json Variable,Mapping Value
Console_Exec_Timeout_Default,600,default console exec inactive timeout in seconds,SYS_DFLT_SYSMGR_CONSOLE_EXEC_TIMEOUT,
Console_Exec_Timeout_Min,60,minimum console exec inactive timeout in seconds,SYS_ADPT_SYSMGR_CONSOLE_EXEC_TIMEOUT_MIN,
Console_Exec_Timeout_Max,65535,maximum console exec inactive timeout in seconds,SYS_ADPT_SYSMGR_CONSOLE_EXEC_TIMEOUT_MAX,
Console_Login_Response_Timeout_Default,300,default console login response timeout in seconds,SYS_DFLT_SYSMGR_CONSOLE_LOGIN_RESPONSE_TIMEOUT,
Console_Login_Response_Timeout_Min,10,minimum console login response timeout in seconds,SYS_ADPT_SYSMGR_CONSOLE_LOGIN_RESPONSE_TIMEOUT_MIN,
Console_Login_Response_Timeout_Max,300,maximum console login response timeout in seconds,SYS_ADPT_SYSMGR_CONSOLE_LOGIN_RESPONSE_TIMEOUT_MAX,
Console_Password_Threshold_Default,3,default console login password threshold in seconds,SYS_DFLT_SYSMGR_CONSOLE_PASSWORD_THRESHOLD,
Console_Password_Threshold_Min,1,minimum console login password threshold in seconds,SYS_ADPT_SYSMGR_CONSOLE_PASSWORD_THRESHOLD_MIN,
Console_Password_Threshold_Max,120,maximum console login password threshold in seconds,SYS_ADPT_SYSMGR_CONSOLE_PASSWORD_THRESHOLD_MAX,
Console_Silent_Time_Default,0,default console login silent time in seconds,,
Console_Silent_Time_Min,1,minimum console login silent time in seconds,SYS_ADPT_SYSMGR_CONSOLE_SILENT_TIME_MIN,
Console_Silent_Time_Max,65535,maximum console login silent time in seconds,SYS_ADPT_SYSMGR_CONSOLE_SILENT_TIME_MAX,
Telnet_Exec_Timeout_Default,600,default Telnet exec inactive timeout in seconds,SYS_DFLT_SYSMGR_TELNET_EXEC_TIMEOUT,
Telnet_Exec_Timeout_Min,60,minimum Telnet exec inactive timeout in seconds,SYS_ADPT_SYSMGR_TELNET_EXEC_TIMEOUT_MIN,
Telnet_Exec_Timeout_Max,65535,maximum Telnet exec inactive timeout in seconds,,
Telnet_Login_Response_Timeout_Default,300,default Telnet login response timeout in seconds,SYS_DFLT_SYSMGR_TELNET_LOGIN_RESPONSE_TIMEOUT,
Telnet_Login_Response_Timeout_Min,10,minimum Telnet login response timeout in seconds,SYS_ADPT_SYSMGR_TELNET_LOGIN_RESPONSE_TIMEOUT_MIN,
Telnet_Login_Response_Timeout_Max,300,maximum Telnet login response timeout in seconds,SYS_ADPT_SYSMGR_TELNET_LOGIN_RESPONSE_TIMEOUT_MAX,
Telnet_Password_Threshold_Default,3,default Telnet password threshold in seconds,SYS_DFLT_SYSMGR_TELNET_PASSWORD_THRESHOLD,
Telnet_Password_Threshold_Min,1,minimum Telnet login password threshold in seconds,SYS_ADPT_SYSMGR_TELNET_PASSWORD_THRESHOLD_MIN,
Telnet_Password_Threshold_Max,120,maximum Telnet login password threshold in seconds,SYS_ADPT_SYSMGR_TELNET_PASSWORD_THRESHOLD_MAX,
Telnet_Silent_Time_Default,0,default Telnet login silent time in seconds,,
Telnet_Silent_Time_Min,1,minimum Telnet login silent time in seconds,SYS_ADPT_SYSMGR_TELNET_SILENT_TIME_MIN,
Telnet_Silent_Time_Max,65535,maximum Telnet login silent time in seconds,SYS_ADPT_SYSMGR_TELNET_SILENT_TIME_MAX,
Baud_Rate_Default,115200,default console transmit and receive rate in bytes per second,,
Baud_Rate_Valid_Input,19200 38400 57600 115200 9600,valid settings for baud rate,,
Data_Bits_Default,8,default number of data bits per character,,
Data_Bits_Valid_Input,7 8,valid settings for data bits,,
Parity_Default,none,default terminal parity,,
Parity_Valid_Input,even none odd,valid settings for parity,,
Stop_Bits_Default,1,default async line stop bits,,
Stop_Bits_Valid_Input,1 2,valid settings for stop bits,,
Telnet_Server_Status_Default,enabled,default Telnet server status,SYS_DFLT_TELNET_DEFAULT_STATE,"""1 2"" ""enabled disabled"""
Telnet_Port_Default,23,default Telnet service port,SYS_DFLT_TELNET_SOCKET_PORT,
Telnet_Port_Min,1,minimum Telnet port number,MIN_telnetPortNumber,
Telnet_Port_Max,65535,maximum Telnet port number,MAX_telnetPortNumber,
Telnet_Session_Default,8,default max Telnet session number,SYS_DFLT_TELNET_DEFAULT_MAX_SESSION,
Telnet_Session_Min,0,minimum max Telnet session number,,
Telnet_Session_Max,8,maximum max Telnet session number,SYS_ADPT_MAX_TELNET_NUM,
SSH_Auth_Retry_Default,3,Default SSH server authentication-retry count,SYS_DFLT_IP_SSH_AUTHENTICATION_RETRIES,
SSH_Auth_Retry_Min,1,Minimum SSH server authentication-retry count,MIN_sshAuthRetries,
SSH_Auth_Retry_Max,5,Maximum SSH server authentication-retry count,MAX_sshAuthRetries,
SSH_Auth_Timeout_Default,120,Default SSH authentication timeout in seconds,SYS_DFLT_IP_SSH_TIMEOUT,
SSH_Auth_Timeout_Min,1,Minimum SSH authentication timeout in seconds,MIN_sshTimeout,
SSH_Auth_Timeout_Max,120,Maximum SSH authentication timeout in seconds,MAX_sshTimeout,
SSH_Svr_Key_Default,768,Default SSH server key size in bits,SYS_DFLT_SSH_SERVER_KEY_SIZE,
SSH_Svr_Key_Min,512,Minimum SSH server key size in bits,SYS_ADPT_MIN_SSH_SERVER_KEY_SIZE,
SSH_Svr_Key_Max,896,Maximum SSH server key size in bits,SYS_ADPT_MAX_SSH_SERVER_KEY_SIZE,
SSH_Session_Max,8,Maximum SSH session number,SYS_ADPT_MAX_SSH_NUMBER,
