Variable,Value,Description,Json Variable,Mapping Value
USER_Name_Len_MAX,32,Maximum length of user name,SYS_ADPT_MAX_USER_NAME_LEN,
USER_Password_Len_MAX,32,Maximum length of password,SYS_ADPT_MAX_PASSWORD_LEN,
USER_Name_Len_MIN,1,Minimum length of user name,,
USER_Password_Len_MIN,1,Minimum length of password,,
USER_Guest_Name,guest,default guest username,SYS_DFLT_USERAUTH_GUEST_USERNAME,
USER_Guest_Password,guest,default guest password,SYS_DFLT_USERAUTH_GUEST_PASSWORD,
USER_Remote_Admin_Name,radadmin,user name on RADIUS server for admin,,
USER_Remote_Admin_Password,radadmin,user password on RADIUS server for admin,,
USER_Remote_Guest_Name,raduser,user name on RADIUS server for guest,,
USER_Remote_Guest_Password,raduser,user password on RADIUS server for guest,,
RADIUS_Server_IP_Address,192.168.1.150,"RADIUS server IP address, should be reachable for Client IP",,
RADIUS_Server_Secret,1234567890123456,,,
RADIUS_Client_IP_Address,192.168.1.10,RADIUS client IP address,,
Network_Access_Aging_Default,enabled,default mac-address aging setting,SYS_DFLT_NETACCESS_AGING_MODE,"""1 2"" ""enabled disabled"""
USER_Exec_Timeout_Default,300,Default exec timeout,SYS_DFLT_SYSMGR_CONSOLE_EXEC_TIMEOUT,
USER_Supervisor_Password_Default,super,,,
USER_Supervisor_PlainPassword_Max,8,Maximum length of enable password in plain form,SYS_ADPT_MAX_PASSWORD_LEN,
USER_Supervisor_EncPassword_Max,32,Maximum length of enable password in encrypt form,,
User_Number_Max,16,Maximum number of allowed users,SYS_ADPT_MAX_NBR_OF_LOGIN_USER,
