Variable,Value,Description,Json Variable,Mapping Value
PPPoE_PROTOCOL,0x88 0x63,Protocol type,,
PPPoE_PADI,0x11 0x09 0x00 0x00 0x00 0x07 0x01 0x01 0x00 0x03 0x61 0x62 0x63,PPPoE protocol packet,,
PPPoE_CAPTURE_TIME,10,,,
PPPoE_ACCESS_ID,test_id,Configures access node identifier,,
PPPoE_ERROR_MESSAGE,YYY,Configures generic error message,,
PPPoE_SERVICE_NAME,ABC,Configures Service-Name,,
PPPoE_AC_NAME,SSS,Configures AC-Name,,
PPPoE_CIRCUIT_ID,AAA,Configures circuit ID,,
PPPoE_REMOTE_ID,BBB,Configures remote ID,,
PPPoE_VENDOR_ID,1111,Configures vendor tag,,
PPPoE_DEFAULT_VENDOR_ID,3561,,,
PPPoE_IA_INFO,No,,,
PPPoE_TRUSTED_INFO,No,,,
PPPoE_VENDOR-TAG_INFO,No,,,
PPPoE_STATUS_STR_EN,Yes,Enable status string,,
PPPoE_STATUS_STR_DIS,No,Disable status string,,
PPPoE_TEST_PACKET_COUNT,20,,,
